Timestamp,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity
1771296025404,,,,0,,,,,,,,
1771296025428,,,,,0,,,,,,,
1771296025451,,,,,,0,,,,,,
1771296025475,,,,,,,,0,,,,
1771296025497,,,,,,,0.183150183150183,,,,,
1771296025526,,,,,,,,,0,,,
1771296025566,,,,,,,,,,0,,
1771296025591,,,,,,,,,,,0,
1771296025613,,,,,,,,,,,,9.104179382324219
1771296025636,,0,,,,,,,,,,
1771296025692,22.637362637362617,,,,,,,,,,,
1771296025714,,,0.00015799210814293474,,,,,,,,,
1771296025736,,,,0,,,,,,,,
1771296025761,,,,,0,,,,,,,
1771296025782,,,,,,-0.008765608072280884,,,,,,
1771296025810,,,,,,,,0,,,,
1771296025830,,,,,,,0,,,,,
1771296025857,,,,,,,,,0.008765608072280884,,,
1771296025881,,,,,,,,,,0,,
1771296025902,,,,,,,,,,,0,
1771296025924,,,,,,,,,,,,8.013819694519043
1771296025947,,0,,,,,,,,,,
1771296025968,19.70695970695969,,,,,,,,,,,
1771296025994,,,0.00015799210814293474,,,,,,,,,
1771296026017,,,,0,,,,,,,,
1771296026042,,,,,0,,,,,,,
1771296026065,,,,,,0,,,,,,
1771296026088,,,,,,,,0,,,,
1771296026111,,,,,,,0,,,,,
1771296026131,,,,,,,,,-0.007806869223713875,,,
1771296026153,,,,,,,,,,0,,
1771296026170,,,,,,,,,,,0,
1771296026191,,,,,,,,,,,,7.977114200592041
1771296026212,,0,,,,,,,,,,
1771296026234,21.3186813186813,,,,,,,,,,,
1771296026261,,,0.00015799210814293474,,,,,,,,,
1771296026288,,,,0,,,,,,,,
1771296026312,,,,,0,,,,,,,
1771296026339,,,,,,-0.006300280801951885,,,,,,
1771296026361,,,,,,,,0,,,,
1771296026380,,,,,,,0,,,,,
1771296026407,,,,,,,,,0.008765608072280884,,,
1771296026432,,,,,,,,,,0,,
1771296026453,,,,,,,,,,,0,
1771296026484,,,,,,,,,,,,8.494147300720215
1771296026511,,0,,,,,,,,,,
1771296026539,20.98901098901097,,,,,,,,,,,
1771296026566,,,0.00015799210814293474,,,,,,,,,
1771296026589,,,,0,,,,,,,,
1771296026614,,,,,0,,,,,,,
1771296026641,,,,,,-0.0034240654204040766,,,,,,
1771296026671,,,,,,,,0,,,,
1771296026694,,,,,,,0,,,,,
1771296026725,,,,,,,,,0,,,
1771296026753,,,,,,,,,,0,,
1771296026807,,,,,,,,,,,0,
1771296026831,,,,,,,,,,,,6.890178203582764
1771296026877,,0,,,,,,,,,,
1771296026905,17.728937728937716,,,,,,,,,,,
1771296026925,,,0.00015799210814293474,,,,,,,,,
1771296026947,,,,0,,,,,,,,
1771296026968,,,,,0,,,,,,,
1771296026994,,,,,,0,,,,,,
1771296027023,,,,,,,,0,,,,
1771296027045,,,,,,,0,,,,,
1771296027073,,,,,,,,,-0.0005478505045175552,,,
1771296027099,,,,,,,,,,0,,
1771296027120,,,,,,,,,,,0,
1771296027146,,,,,,,,,,,,8.882847785949707
1771296027167,,0,,,,,,,,,,
1771296027188,20.659340659340643,,,,,,,,,,,
1771296027207,,,0.00015799210814293474,,,,,,,,,
1771296027227,,,,0,,,,,,,,
1771296027248,,,,,0,,,,,,,
1771296027273,,,,,,0,,,,,,
1771296027290,,,,,,,,0,,,,
1771296027312,,,,,,,0.0366300366300366,,,,,
1771296027334,,,,,,,,,-0.0016435513971373439,,,
1771296027357,,,,,,,,,,0,,
1771296027378,,,,,,,,,,,0,
1771296027399,,,,,,,,,,,,9.564647674560547
1771296027419,,0,,,,,,,,,,
1771296027441,18.3150183150183,,,,,,,,,,,
1771296027461,,,0.00015799210814293474,,,,,,,,,
1771296027484,,,,0,,,,,,,,
1771296027504,,,,,0,,,,,,,
