Timestamp,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Brownout Sticky Warning,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Current,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Brownout Warning,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Primary Encoder Velocity,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Current,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Ext EEPROM Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Primary Encoder Velocity,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Current,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Ext EEPROM Sticky Warning
1771298580260,,,20.622710622710606,,,,,,,,,
1771298580275,,,,0.013833225704729557,,,,,,,,
1771298580290,,,,,,0,,,,,,
1771298580304,,,,,0.366300366300366,,,,,,,
1771298580320,,,,,,,0.03136444091796875,,,,,
1771298580338,,,,,,,,,0,,,
1771298580359,,,,,,,,0,,,,
1771298580400,,,,,,,,,,-103.1135482788086,,
1771298580423,,,,,,,,,,,30.769230769230745,
1771298580440,,,,,,,,,,,,0
1771298580458,,0,,,,,,,,,,
1771298580481,-101.72278594970703,,,,,,,,,,,
1771298580498,,,,-0.06765953451395035,,,,,,,,
1771298580516,,,23.26007326007324,,,,,,,,,
1771298580530,,,,,,0,,,,,,
1771298580547,,,,,0.2930402930402928,,,,,,,
1771298580563,,,,,,,0.019037805497646332,,,,,
1771298580602,,,,,,,,,0,,,
1771298580617,,,,,,,,0,,,,
1771298580636,,,,,,,,,,-102.46050262451172,,
1771298580695,,,,,,,,,,,21.46520146520145,
1771298580717,,,,,,,,,,,,0
1771298580733,,0,,,,,,,,,,
1771298580749,-102.32118225097656,,,,,,,,,,,
1771298580780,,,,0.0034240654204040766,,,,,,,,
1771298580795,,,21.46520146520145,,,,,,,,,
1771298580810,,,,,,0,,,,,,
1771298580824,,,,,0,,,,,,,
1771298580841,,,,,,,-0.018079066649079323,,,,,
1771298580856,,,,,,,,,0,,,
1771298580870,,,,,,,,0,,,,
1771298580886,,,,,,,,,,-103.1210708618164,,
1771298580903,,,,,,,,,,,29.41391941391939,
1771298580935,,,,,,,,,,,,0
1771298580950,-102.32115936279297,,,,,,,,,,,
1771298580965,,0,,,,,,,,,,
1771298580983,,,20.293040293040278,,,,,,,,,
1771298581000,,,,0.0208183191716671,,,,,,,,
1771298581022,,,,,0.3296703296703294,,,,,,,
1771298581039,,,,,,0,,,,,,
1771298581057,,,,,,,,,0,,,
1771298581076,,,,,,,0.014928925782442093,,,,,
1771298581096,,,,,,,,,,-103.84944152832031,,
1771298581137,,,,,,,,0,,,,
1771298581156,,,,,,,,,,,26.73992673992672,
1771298581177,,,,,,,,,,,,0
1771298581197,,0,,,,,,,,,,
1771298581218,-102.32115936279297,,,,,,,,,,,
1771298581237,,,,-0.06642687320709229,,,,,,,,
1771298581253,,,18.498168498168482,,,,,,,,,
1771298581269,,,,,0,,,,,,,
1771298581302,,,,,,0,,,,,,
1771298581326,,,,,,,,,0,,,
1771298581346,,,,,,,-0.026296822354197502,,,,,
1771298581369,,,,,,,,,,-103.51470947265625,,
1771298581389,,,,,,,,0,,,,
1771298581407,,,,,,,,,,,29.706959706959683,
1771298581423,,,,,,,,,,,,0
1771298581443,,0,,,,,,,,,,
1771298581465,-102.3211669921875,,,,,,,,,,,
1771298581500,,,,-0.015339813195168972,,,,,,,,
1771298581519,,,20.439560439560424,,,,,,,,,
1771298581537,,,,,0.732600732600732,,,,,,,
1771298581557,,,,,,0,,,,,,
1771298581572,,,,,,,,,0,,,
1771298581590,,,,,,,0.0024653272703289986,,,,,
1771298581610,,,,,,,,,,-104.34825897216797,,
1771298581630,,,,,,,,0,,,,
1771298581649,,,,,,,,,,,30.80586080586078,
1771298581697,,,,,,,,,,,,0
1771298581715,,0,,,,,,,,,,
1771298581755,-101.7227554321289,,,,,,,,,,,
1771298581774,,,,-0.016435515135526657,,,,,,,,
1771298581792,,,21.75824175824174,,,,,,,,,
1771298581811,,,,,0.2197802197802196,,,,,,,
1771298581830,,,,,,0,,,,,,
1771298581851,,,,,,,,,0,,,
1771298581895,,,,,,,-0.0024653272703289986,,,,,
1771298581914,,,,,,,,,,-102.89933013916016,,
1771298581940,,,,,,,,0,,,,
1771298581968,,,,,,,,,,,23.003663003662986,
1771298581991,,,,,,,,,,,,0
1771298582010,,0,,,,,,,,,,
1771298582026,-102.3211441040039,,,,,,,,,,,
1771298582047,,,,-0.08094491064548492,,,,,,,,
1771298582089,,,18.97435897435896,,,,,,,,,
1771298582107,,,,,0.366300366300366,,,,,,,
1771298582128,,,,,,0,,,,,,
1771298582146,,,,,,,,,0,,,
1771298582164,,,,,,,0.013559299521148205,,,,,
1771298582182,,,,,,,,,,-103.04779815673828,,
1771298582202,,,,,,,,0,,,,
1771298582216,,,,,,,,,,,31.611721611721585,
1771298582250,,,,,,,,,,,,0
1771298582267,,0,,,,,,,,,,
1771298582286,-101.72273254394531,,,,,,,,,,,
1771298582304,,,,-0.007532943971455097,,,,,,,,
1771298582321,,,20.14652014652013,,,,,,,,,
1771298582340,,,,,0.0366300366300366,,,,,,,
1771298582355,,,,,,0,,,,,,
1771298582375,,,,,,,,,0,,,
1771298582393,,,,,,,0.010135233402252197,,,,,
1771298582428,,,,,,,,,,-104.35442352294922,,
1771298582446,,,,,,,,0,,,,
1771298582464,,,,,,,,,,,26.153846153846132,
1771298582484,,,,,,,,,,,,0
1771298582500,,0,,,,,,,,,,
1771298582523,-102.32110595703125,,,,,,,,,,,
1771298582544,,,,0.019037805497646332,,,,,,,,
1771298582561,,,19.523809523809508,,,,,,,,,
1771298582580,,,,,0,,,,,,,
1771298582620,,,,,,0,,,,,,
1771298582639,,,,,,,,,0,,,
