Timestamp,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Primary Encoder Velocity,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Current,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Primary Encoder Velocity,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Ext EEPROM Warning,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Brownout Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Primary Encoder Velocity,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Ext EEPROM Sticky Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Current,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Brownout Sticky Warning
1771298526425,38.424908424908395,,,,,,,,,,,
1771298526467,,,,,,,,,,,,0
1771298526487,,,0,,,,,,,,,
1771298526505,,0.021092243492603302,,,,,,,,,,
1771298526523,,,,,0.008765608072280884,,,,,,,
1771298526542,,,,0.2930402930402928,,,,,,,,
1771298526559,,,,,,,0,,,,,
1771298526579,,,,,,0,,,,,,
1771298526603,,,,,,,,,0,,,
1771298526625,,,,,,,,-0.0576612614095211,,,,
1771298526666,,,,,,,,,,,-89.15657806396484,
1771298526686,,,,,,,,,,2.930402930402928,,
1771298526705,38.46153846153843,,,,,,,,,,,
1771298526728,,,,,,,,,,,,0
1771298526746,,,0,,,,,,,,,
1771298526769,,0.05574378743767738,,,,,,,,,,
1771298526791,,,,,0.0987500548362732,,,,,,,
1771298526809,,,,0,,,,,,,,
1771298526842,,,,,,,0,,,,,
1771298526859,,,,,,0,,,,,,
1771298526878,,,,,,,,,0,,,
1771298526899,,,,,,,,0.044649817049503326,,,,
1771298526920,,,,,,,,,,,-89.75496673583984,
1771298526941,,,,,,,,,,2.930402930402928,,
1771298526963,37.032967032967,,,,,,,,,,,
1771298526985,,,,,,,,,,,,0
1771298527022,,,0,,,,,,,,,
1771298527045,,-0.017257289960980415,,,,,,,,,,
