Timestamp,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current
1771296349992,,,,,,0,,,,,,
1771296350015,,,,,0.2564102564102562,,,,,,,
1771296350036,,,,,,,9.017481803894043,,,,,
1771296350082,,,,,,,,0,,,,
1771296350103,,,,,,,,,4.945054945054941,,,
1771296350126,,,,,,,,,,8.721094131469727,,
1771296350154,,,,,,,,,,,0,
1771296350179,,,,,,,,,,,,6.739926739926735
1771296350202,-8.273911476135254,,,,,,,,,,,
1771296350225,,0,,,,,,,,,,
1771296350245,,,6.923076923076917,,,,,,,,,
1771296350267,,,,-8.975826263427734,,,,,,,,
1771296350287,,,,,,0,,,,,,
1771296350311,,,,,0.5860805860805856,,,,,,,
1771296350338,,,,,,,8.510171890258789,,,,,
1771296350362,,,,,,,,0,,,,
1771296350384,,,,,,,,,6.630036630036624,,,
1771296350409,,,,,,,,,,8.20926570892334,,
1771296350438,,,,,,,,,,,0,
1771296350461,,,,,,,,,,,,4.945054945054941
1771296350485,-9.280587196350098,,,,,,,,,,,
1771296350510,,0,,,,,,,,,,
1771296350531,,,5.8974358974358925,,,,,,,,,
1771296350557,,,,-8.975826263427734,,,,,,,,
1771296350577,,,,,,0,,,,,,
1771296350597,,,,,0.2564102564102562,,,,,,,
1771296350621,,,,,,,8.539619445800781,,,,,
1771296350643,,,,,,,,0,,,,
1771296350664,,,,,,,,,5.091575091575088,,,
1771296350688,,,,,,,,,,9.228678703308105,,
1771296350712,,,,,,,,,,,0,
1771296350737,,,,,,,,,,,,5.128205128205124
1771296350757,-9.087196350097656,,,,,,,,,,,
1771296350787,,0,,,,,,,,,,
1771296350807,,,4.761904761904758,,,,,,,,,
1771296350829,,,,-8.97582721710205,,,,,,,,
1771296350854,,,,,,0,,,,,,
1771296350870,,,,,0.2564102564102562,,,,,,,
1771296350893,,,,,,,9.081717491149902,,,,,
1771296350923,,,,,,,,0,,,,
1771296350942,,,,,,,,,5.787545787545783,,,
1771296350968,,,,,,,,,,8.941604614257812,,
1771296351007,,,,,,,,,,,0,
1771296351031,,,,,,,,,,,,5.201465201465197
1771296351050,-8.976119041442871,,,,,,,,,,,
1771296351070,,0,,,,,,,,,,
1771296351089,,,5.567765567765563,,,,,,,,,
1771296351109,,,,-8.97582721710205,,,,,,,,
1771296351129,,,,,,0,,,,,,
1771296351169,,,,,0.183150183150183,,,,,,,
1771296351190,,,,,,,9.088018417358398,,,,,
1771296351207,,,,,,,,0,,,,
1771296351232,,,,,,,,,5.128205128205124,,,
1771296351254,,,,,,,,,,8.612895011901855,,
1771296351274,,,,,,,,,,,0,
1771296351292,,,,,,,,,,,,5.49450549450549
1771296351315,-8.447169303894043,,,,,,,,,,,
1771296351333,,0,,,,,,,,,,
1771296351353,,,4.945054945054941,,,,,,,,,
1771296351373,,,,-8.97582721710205,,,,,,,,
1771296351394,,,,,,0,,,,,,
1771296351413,,,,,0.2564102564102562,,,,,,,
1771296351433,,,,,,,9.072951316833496,,,,,
1771296351453,,,,,,,,,5.7509157509157465,,,
1771296351472,,,,,,,,0,,,,
1771296351495,,,,,,,,,,8.561807632446289,,
1771296351516,,,,,,,,,,,0,
1771296351536,,,,,,,,,,,,4.578754578754575
1771296351558,-8.61193561553955,,,,,,,,,,,
1771296351581,,0,,,,,,,,,,
1771296351603,,,6.483516483516478,,,,,,,,,
1771296351624,,,,-8.97582721710205,,,,,,,,
1771296351643,,,,,,0,,,,,,
1771296351662,,,,,0.2197802197802196,,,,,,,
1771296351682,,,,,,,8.353898048400879,,,,,
1771296351703,,,,,,,,0,,,,
1771296351723,,,,,,,,,6.410256410256405,,,
1771296351744,,,,,,,,,,8.451141357421875,,
1771296351762,,,,,,,,,,,,5.531135531135527
1771296351782,,,,,,,,,,,0,
1771296351804,-8.732189178466797,,,,,,,,,,,
1771296351825,,0,,,,,,,,,,
1771296351845,,,4.725274725274722,,,,,,,,,
1771296351866,,,,-8.37742805480957,,,,,,,,
1771296351883,,,,,,0,,,,,,
1771296351902,,,,,0.4761904761904758,,,,,,,
1771296351928,,,,,,,8.752595901489258,,,,,
1771296351950,,,,,,,,0,,,,
1771296351975,,,,,,,,,5.27472527472527,,,
1771296351998,,,,,,,,,,9.175399780273438,,
1771296352023,,,,,,,,,,,0,
1771296352046,,,,,,,,,,,,5.164835164835161
1771296352065,-8.748624801635742,,,,,,,,,,,
1771296352088,,0,,,,,,,,,,
1771296352110,,,4.945054945054941,,,,,,,,,
1771296352129,,,,-8.97582721710205,,,,,,,,
1771296352152,,,,,,0,,,,,,
1771296352174,,,,,0.2564102564102562,,,,,,,
1771296352195,,,,,,,9.026931762695312,,,,,
1771296352219,,,,,,,,0,,,,
1771296352257,,,,,,,,,4.505494505494502,,,
1771296352278,,,,,,,,,,8.830254554748535,,
1771296352317,,,,,,,,,,,0,
1771296352337,,,,,,,,,,,,5.311355311355307
