Timestamp,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning
1771296073806,,,,,,,,,,,0,
1771296073821,0.004382804036140442,,,,,,,,,,,
1771296073838,,,0.0732600732600732,,,,,,,,,
1771296073855,,0,,,,,,,,,,
1771296073871,,,,-0.01561373844742775,,,,,,,,
1771296073891,,,,,0,,,,,,,
1771296073906,,,,,,0,,,,,,
1771296073926,,,,,,,311.7899169921875,,,,,
1771296073942,,,,,,,,,34.68864468864466,,,
1771296073960,,,,,,,,0,,,,
1771296073978,,,,,,,,,,0.00015799210814293474,,
1771296073994,,,,,,,,,,,,0
1771296074011,,,,,,,,,,,0,
1771296074029,0.007395981810986996,,,,,,,,,,,
1771296074046,,,0,,,,,,,,,
1771296074065,,0,,,,,,,,,,
1771296074080,,,,0.0008217756985686719,,,,,,,,
1771296074096,,,,,0,,,,,,,
1771296074114,,,,,,0,,,,,,
1771296074134,,,,,,,311.530517578125,,,,,
1771296074150,,,,,,,,,41.35531135531132,,,
1771296074166,,,,,,,,0,,,,
1771296074201,,,,,,,,,,0.00015799210814293474,,
1771296074220,,,,,,,,,,,,0
1771296074251,,,,,,,,,,,0,
1771296074274,-0.007943832315504551,,,,,,,,,,,
1771296074290,,0,,,,,,,,,,
1771296074307,,,0.1465201465201464,,,,,,,,,
1771296074321,,,,,0,,,,,,,
1771296074343,,,,-0.009724345989525318,,,,,,,,
1771296074359,,,,,,,311.4790344238281,,,,,
1771296074375,,,,,,0,,,,,,
1771296074396,,,,,,,,,46.52014652014648,,,
1771296074415,,,,,,,,0,,,,
1771296074434,,,,,,,,,,0.00015799210814293474,,
1771296074453,,,,,,,,,,,,0
1771296074469,,,,,,,,,,,0,
1771296074489,-0.0001369626261293888,,,,,,,,,,,
1771296074507,,,0,,,,,,,,,
1771296074528,,0,,,,,,,,,,
1771296074548,,,,0.005204579792916775,,,,,,,,
1771296074566,,,,,0,,,,,,,
1771296074582,,,,,,0,,,,,,
1771296074603,,,,,,,312.3579406738281,,,,,
1771296074619,,,,,,,,,37.14285714285711,,,
1771296074637,,,,,,,,0,,,,
1771296074657,,,,,,,,,,0.00015799210814293474,,
1771296074684,,,,,,,,,,,,0
1771296074704,,,,,,,,,,,0,
1771296074729,-0.004793691914528608,,,,,,,,,,,
1771296074747,,0,,,,,,,,,,
1771296074765,,,0.2197802197802196,,,,,,,,,
1771296074782,,,,-0.004656728822737932,,,,,,,,
1771296074799,,,,,0,,,,,,,
1771296074816,,,,,,0,,,,,,
1771296074835,,,,,,,312.5204772949219,,,,,
1771296074850,,,,,,,,,39.74358974358971,,,
1771296074870,,,,,,,,0,,,,
1771296074887,,,,,,,,,,0.00015799210814293474,,
1771296074903,,,,,,,,,,,,0
1771296074922,,,,,,,,,,,0,
1771296074942,0.006985093932598829,,,,,,,,,,,
1771296074959,,,0,,,,,,,,,
1771296074976,,0,,,,,,,,,,
1771296074991,,,,0.0031501404009759426,,,,,,,,
1771296075008,,,,,0,,,,,,,
1771296075025,,,,,,0,,,,,,
1771296075042,,,,,,,312.36572265625,,,,,
1771296075066,,,,,,,,,36.263736263736234,,,
1771296075088,,,,,,,,0,,,,
1771296075105,,,,,,,,,,0.00015799210814293474,,
1771296075123,,,,,,,,,,,,0
1771296075140,,,,,,,,,,,0,
1771296075162,-0.007259019184857607,,,,,,,,,,,
1771296075180,,,0,,,,,,,,,
1771296075200,,0,,,,,,,,,,
1771296075218,,,,-0.008628644980490208,,,,,,,,
1771296075237,,,,,0,,,,,,,
1771296075270,,,,,,0,,,,,,
1771296075285,,,,,,,312.33148193359375,,,,,
1771296075304,,,,,,,,,35.86080586080583,,,
1771296075323,,,,,,,,0,,,,
1771296075340,,,,,,,,,,,,0
1771296075364,,,,,,,,,,0.00015799210814293474,,
1771296075381,0.00575243029743433,,,,,,,,,,,
1771296075400,,,,,,,,,,,0,
1771296075416,,,0.0732600732600732,,,,,,,,,
1771296075444,,0,,,,,,,,,,
1771296075465,,,,-0.009176496416330338,,,,,,,,
1771296075481,,,,,0,,,,,,,
1771296075508,,,,,,0,,,,,,
1771296075525,,,,,,,312.60211181640625,,,,,
1771296075541,,,,,,,,,34.32234432234429,,,
1771296075560,,,,,,,,0,,,,
1771296075579,,,,,,,,,,,,0
1771296075599,,,,,,,,,,0.00015799210814293474,,
1771296075621,0.0002739252522587776,,,,,,,,,,,
1771296075642,,,,,,,,,,,0,
1771296075662,,,0,,,,,,,,,
1771296075679,,0,,,,,,,,,,
1771296075700,,,,,0,,,,,,,
1771296075723,,,,-0.0026022898964583874,,,,,,,,
1771296075746,,,,,,,312.6373291015625,,,,,
1771296075763,,,,,,0,,,,,,
1771296075780,,,,,,,,,33.150183150183125,,,
1771296075798,,,,,,,,0,,,,
