Timestamp,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning
1771295575583,,,0,,,,,,,,,
1771295575622,,,,13.47985347985347,,,,,,,,
1771295575641,,,,,5.245805263519287,,,,,,,
1771295575660,,,,,,0,,,,,,
1771295575678,,,,,,,5.9706959706959655,,,,,
1771295575700,,,,,,,,-0.018216028809547424,,,,
1771295575719,,,,,,,,,0,,,
1771295575739,,,,,,,,,,0,,
1771295575769,,,,,,,,,,,-9.986858913180185e-7,
1771295575796,0,,,,,,,,,,,
1771295575818,,,,,,,,,,,,0
1771295575841,,,0,,,,,,,,,
1771295575867,,5.1292500495910645,,,,,,,,,,
1771295575894,,,,,5.244161605834961,,,,,,,
1771295575917,,,,12.051282051282042,,,,,,,,
1771295575937,,,,,,,5.384615384615381,,,,,
1771295575960,,,,,,0,,,,,,
1771295575980,,,,,,,,-0.005204579792916775,,,,
1771295576004,,,,,,,,,0,,,
1771295576029,,,,,,,,,,0,,
1771295576048,,,,,,,,,,,-9.986858913180185e-7,
1771295576071,0,,,,,,,,,,,
1771295576095,,,,,,,,,,,,0
1771295576116,,,0,,,,,,,,,
1771295576141,,5.909389019012451,,,,,,,,,,
1771295576164,,,,,5.067069053649902,,,,,,,
1771295576183,,,,13.04029304029303,,,,,,,,
1771295576206,,,,,,,6.153846153846149,,,,,
1771295576227,,,,,,0,,,,,,
1771295576252,,,,,,,,-0.002876215148717165,,,,
1771295576276,,,,,,,,,0,,,
1771295576321,,,,,,,,,,0,,
1771295576348,,,,,,,,,,,-9.986858913180185e-7,
1771295576371,0,,,,,,,,,,,
1771295576391,,,,,,,,,,,,0
1771295576410,,,0,,,,,,,,,
1771295576435,,4.233651638031006,,,,,,,,,,
1771295576464,,,,,4.2673444747924805,,,,,,,
1771295576483,,,,13.699633699633688,,,,,,,,
1771295576507,,,,,,,6.117216117216112,,,,,
1771295576526,,,,,,0,,,,,,
1771295576591,,,,,,,,-0.0039719161577522755,,,,
